split_bucket,cost_bps,labelable_step_n,positive_n,negative_n,neutral_n,defended_labelable_step_n,continued_labelable_step_n,full_denominator_sum_incremental_return,full_denominator_mean_incremental_return,full_denominator_mean_drawdown_avoided_abs,defended_positive_incremental_return_sum,defended_negative_incremental_return_sum,defended_neutral_incremental_return_sum,continued_negative_return_sum,continued_negative_max_drawdown_mean,defended_negative_drawdown_avoided_abs_mean,primary_return_utility_gate,drawdown_avoidance_gate,context_stratum,valid_context_power,context_utility_rebuild_gate,context_utility_status,context_caveat
train,0,20245,10078,4884,5283,5584,14661,-18.972550473018977,-0.0009371474671780181,0.025833160879081794,-320.25752234710563,253.66213550105687,47.62283637302981,-265.6890634428454,-0.15261512647995332,0.16685824701733815,fail,pass,all_steps,True,pass,readout,
train,25,20245,10078,4884,5283,5584,14661,-32.93255047301898,-0.0016267004432214858,0.025833160879081794,-325.73252234710554,247.9146355010568,44.88533637302981,-265.6890634428454,-0.15261512647995332,0.16685824701733815,fail,pass,all_steps,True,pass,readout,
train,50,20245,10078,4884,5283,5584,14661,-46.892550473019,-0.0023162534192649542,0.025833160879081794,-331.2075223471056,242.1671355010568,42.147836373029804,-265.6890634428454,-0.15261512647995332,0.16685824701733815,fail,pass,all_steps,True,pass,readout,
train,100,20245,10078,4884,5283,5584,14661,-74.81255047301902,-0.0036953593713518903,0.025833160879081794,-342.1575223471056,230.67213550105683,36.6728363730298,-265.6890634428454,-0.15261512647995332,0.16685824701733815,fail,pass,all_steps,True,pass,readout,
train,0,10621,5066,2537,3018,2912,7709,13.565552200595546,0.0012772386969772663,0.0258066578636373,-146.5402728696679,133.42919296223766,26.67663210802575,-142.5598034705804,-0.1539746336970004,0.1675951666303215,pass,pass,late_rescue_context,True,pass,readout,
train,25,10621,5066,2537,3018,2912,7709,6.2855522005955455,0.0005918041804533985,0.0258066578636373,-149.32277286966786,130.44419296223765,25.16413210802575,-142.5598034705804,-0.1539746336970004,0.1675951666303215,pass,pass,late_rescue_context,True,pass,readout,
train,50,10621,5066,2537,3018,2912,7709,-0.9944477994044645,-9.363033607047025e-05,0.0258066578636373,-152.10527286966786,127.45919296223767,23.651632108025748,-142.5598034705804,-0.1539746336970004,0.1675951666303215,fail,pass,late_rescue_context,True,pass,readout,
train,100,10621,5066,2537,3018,2912,7709,-15.554447799404464,-0.0014644993691182058,0.0258066578636373,-157.67027286966785,121.48919296223767,20.626632108025746,-142.5598034705804,-0.1539746336970004,0.1675951666303215,fail,pass,late_rescue_context,True,pass,readout,
train,0,9624,5012,2347,2265,2672,6952,-32.53810267361453,-0.003380933361763771,0.025862409479147887,-173.71724947743775,120.23294253881917,20.946204265004056,-123.12925997226499,-0.1511450635230336,0.16606197369796974,fail,pass,non_late_rescue_context,True,pass,readout,
train,25,9624,5012,2347,2265,2672,6952,-39.218102673614524,-0.0040750314498768205,0.025862409479147887,-176.40974947743774,117.47044253881919,19.721204265004058,-123.12925997226499,-0.1511450635230336,0.16606197369796974,fail,pass,non_late_rescue_context,True,pass,readout,
